TITLE ORIGINAL,AUTHORS,PUBLICATION YEAR
"On Non-Work Activity Preferences: Relationship with Occupational Roles.","Bränholm, I.B.; Fugl-Meyer, A.R.","1992"
"Life Satisfaction and Activity Preferences in Parents of Down's Syndrome Children.","Bränholm, I.B.; Degerman, E.A.","1992"
"Familie und Rolle der Frau.","Brann, M.; Bandilla, W.","1992"
"Youth Problems and Politics in the 1980's: Some Multinational Comparisons.","Braungart, R.G.; Braungart, M.M.","1986"
"Interrelationships among Measures of Job-Satisfaction and General Satisfaction.","Brayfield, A.H.; Strate, M.W.; Wells, R.V.","1957"
"A Libertarian Psychology: Self-Ownership - A Condition for Happiness.","Breggin, P.R.","1980"
"Depressed Affect as a Cause of Associated Somatic Problems.","Brenner, B.","1979"
"Patterns of Alcohol Use, Happiness and the Satisfaction of Wants.","Brenner, B.","1967"
"Social Factors in Mental Well-Being at Adolescence.","Brenner, B.","1970"
"Quality of Affect and Self-Evaluated Happiness.","Brenner, B.","1975"
"Enjoyment as a Preventive of Depressive Affect.","Brenner, B.","1975"
"The Psychological Impact of Unemployment: A Structural Analysis of Cross-Sectional Data.","Brenner, S.O.; Bartell, R.","1983"
"Job Transfer and Well-Being.","Brett, J.M.","1982"
"Hedonic Relativism and Planning the Good Society.","Brickman, P.; Campbell, D.T.","1971"
"Lottery Winners and Accident Victims: Is Happiness Relative?","Brickman, P.; Coates, D.; Janoff-Bulman, R.","1978"
"Glück durch Gleichheit?","Brieskorn, N.","1987"
"Social Network Correlates of Avowed Happiness.","Brim, J.A.","1974"
"Quality of Life in an Alternative Lifestyle: The Smallholding Movement.","Brinkerhoff, M.B.; Jacob, J.C.","1986"
"Quasi-Religious Meaning Systems, Official Religion and Quality of Life in an Alternative Lifestyle: A Survey from the Back-to-the-Land Movement.","Brinkerhoff, M.B.; Jacob, J.C.","1987"
"Sex Differences in Psychological Well-Being.","Briscoe, M.E.","1982"
"Preliminary Communication: Sex Differences in Perception of Illness and Expressed Life Satisfaction.","Briscoe, M.E.","1978"
"The Significance of Life Goals in Aging Adjustment: A Pilot Study.","Brisette, G.G.","1967"
"The Personal Adjustment of Retired School Teachers.","Britton, J.H.","1953"
"Factors Related to the Adjustment of Retired Y.M.C.A. Secretaries.","Britton, J.O.; Britton, J.H.","1951"
"The Relationship between Self-directed Learning, Readiness and Life Satisfaction among Older Adults.","Brockett, R.G.","1985"
"Satisfaction among Blacks: The Significance of Marriage and Parenthood.","Broman, C.L.","1988"
"Sex and Marital Status in Relation to the Characteristics of Alcoholics.","Bromet, E.; Moos, R.H.","1976"
"Environmental Resources and the Posttreatment Functioning of Alcoholic Patients.","Bromet, E.; Moos, R.H.","1977"
"Family Characteristics and Life Satisfaction of High Academic Achievers.","Bronzaft, A.L.; Hayes, R.F.","1983"
"Life Graphs and Life Events.","Brookover-Bourque, L.; Back, K.W.","1975"
"Personality and Behavioral Change after Severe Blunt Head Injury - A Relative`s View.","Brooks, D.N.; McKinlay, W.","1983"
"Prediction of Psychological Adjustment at Age 30 from Leisure Activities and Satisfaction in Childhood.","Brooks, J.B.; Elliot, D.M.","1971"
"Overview of Adult Health Status Measures Fielded in Rand's Health Insurance Study.","Brook, R.H.; Davies-Avery, A.; Stewart, A.L.; Ware, J.E.","1979"
"Self, Role and Satisfaction.","Brophy, A.L.","1959"
"The Elderly Widowed and Their Patterns of Social Participation and Disengagement.","Brown, A.S.","1973"
"A Comparative Analysis of the Distribution and Prediction of Global Well-Being among Black and White Females.","Brown, D.R.","1984"
"The Morale of Patients following Open-Heart Surgery.","Brown, J.; Rawlinson, M.","1976"
"Changing Family Roles: Women and Divorce.","Brown, P.; Manela, R.","1978"
"Sex Role Attitudes and Psychological Outcomes for Black and White Women Experiencing Marital Dissolution.","Brown, P.; Harburg, E.; Perry, L.","1977"
